name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"น่าน, ประเทศไทย",2022-07-01T00:00:00,74.4,74.4,72.8,94.7,0,0,rain,0,0,0.7,0.4,299.8,1003,99.1,13.4,0,,0,10,Overcast,cloudy,remote
"น่าน, ประเทศไทย",2022-07-01T01:00:00,78.5,78.5,76.7,94.29,0.083,100,rain,0,0,1.1,0,180,1002.1,100,6.1,0,,0,10,"Rain, Overcast",rain,"48307099999,48331099999,48315099999,48333099999"
"น่าน, ประเทศไทย",2022-07-01T02:00:00,73.5,73.5,72.6,97.01,0,0,rain,0,0,0.9,0.2,354.1,1002,100,8,0,,0,10,Overcast,cloudy,remote
"น่าน, ประเทศไทย",2022-07-01T03:00:00,73.3,73.3,72.6,97.6,0,0,,0,0,0.9,0.7,24,1002,100,12.5,0,,0,10,Overcast,cloudy,remote
"น่าน, ประเทศไทย",2022-07-01T04:00:00,77.2,77.2,76.3,97.12,0.425,100,rain,0,0,1.3,0,150,1001.3,100,6.1,0,,0,10,"Rain, Overcast",rain,"48307099999,48331099999,48315099999,48333099999"
"น่าน, ประเทศไทย",2022-07-01T05:00:00,72.9,72.9,72.4,98.2,0,0,,0,0,2,2,50.3,1002,100,11.3,0,,0,10,Overcast,cloudy,remote
"น่าน, ประเทศไทย",2022-07-01T06:00:00,77,77,75.2,94.19,0,0,rain,0,0,0.4,5.8,170,1002,88.9,6.2,1,0,0,10,Partially cloudy,partly-cloudy-day,"VTCN,48331099999"
"น่าน, ประเทศไทย",2022-07-01T07:00:00,77.4,77.4,77.2,99.45,0.281,100,rain,0,0,1.1,0,107.2,1002,93.4,6.2,17,0.1,0,10,"Rain, Overcast",rain,"VTCN,48307099999,48331099999,48315099999,48333099999"
"น่าน, ประเทศไทย",2022-07-01T08:00:00,78.8,78.8,77,94.23,0,0,,0,0,3.4,4.7,180,1003,88.9,6.2,53,0.2,1,10,Partially cloudy,partly-cloudy-day,"VTCN,48331099999"
"น่าน, ประเทศไทย",2022-07-01T09:00:00,80.6,87.1,77,88.84,0,0,,0,0,5.4,10.3,190,1003,50,6.2,85,0.3,1,10,Partially cloudy,partly-cloudy-day,"VTCN,48331099999"
"น่าน, ประเทศไทย",2022-07-01T10:00:00,83,91,75.8,79.07,0.008,100,rain,0,0,7.8,5.1,180,1002.9,72.3,6.2,226,0.8,2,10,"Rain, Partially cloudy",rain,"VTCN,48307099999,48331099999,48315099999,48333099999"
"น่าน, ประเทศไทย",2022-07-01T11:00:00,84.2,94.1,77,79.06,0,0,rain,0,0,9.4,6.9,190,1003,88.9,6.2,495,1.8,5,10,Partially cloudy,partly-cloudy-day,"VTCN,48331099999"
"น่าน, ประเทศไทย",2022-07-01T12:00:00,84.2,92.4,75.2,74.46,0,0,rain,0,0,9.8,6.9,190,1003,88.9,6.2,741,2.7,7,10,Partially cloudy,partly-cloudy-day,"VTCN,48331099999"
"น่าน, ประเทศไทย",2022-07-01T13:00:00,86.4,96.7,76.1,71.51,0,0,rain,0,0,8.9,0,180,1001.7,84.4,6.2,521,1.9,5,10,Partially cloudy,partly-cloudy-day,"VTCN,48307099999,48331099999,48315099999,48333099999"
"น่าน, ประเทศไทย",2022-07-01T14:00:00,86,95.2,75.2,70.29,0,0,rain,0,0,8.1,5.8,180,1001,88.9,6.2,375,1.3,4,30,Partially cloudy,partly-cloudy-day,"VTCN,48331099999"
"น่าน, ประเทศไทย",2022-07-01T15:00:00,87.8,97.7,75.2,66.38,0,0,rain,0,0,6.9,4.7,250,1000,50,6.2,301,1.1,3,10,Partially cloudy,partly-cloudy-day,"VTCN,48331099999"
"น่าน, ประเทศไทย",2022-07-01T16:00:00,88.2,99.3,76.1,67.49,0,0,rain,0,0,5.4,0,270,999.6,63.6,6.2,75,0.3,1,10,Partially cloudy,partly-cloudy-day,"VTCN,48307099999,48331099999,48315099999,48333099999"
"น่าน, ประเทศไทย",2022-07-01T17:00:00,87.8,97.7,75.2,66.38,0,0,,0,0,3.4,4.7,210,999,50,6.2,26,0.1,0,10,Partially cloudy,partly-cloudy-day,"VTCN,48331099999"
"น่าน, ประเทศไทย",2022-07-01T18:00:00,86,93.4,73.4,66.18,0,0,,0,0,2.7,5.8,220,1000,50,6.2,12,0,0,10,Partially cloudy,partly-cloudy-day,"VTCN,48331099999"
"น่าน, ประเทศไทย",2022-07-01T19:00:00,85.3,95.7,76.7,75.6,0,0,,0,0,2.2,0,180,1000.1,100,6.2,4,0,0,10,Overcast,cloudy,"48307099999,48331099999,48315099999,48333099999"
"น่าน, ประเทศไทย",2022-07-01T20:00:00,74.9,74.9,72.6,92.44,0,0,,0,0,2.5,2.5,212.5,1002,100,15,0,,0,10,Overcast,cloudy,remote
"น่าน, ประเทศไทย",2022-07-01T21:00:00,74.6,74.6,72.4,93,0,0,,0,0,1.6,1.3,216.1,1002,100,15,0,,0,10,Overcast,cloudy,remote
"น่าน, ประเทศไทย",2022-07-01T22:00:00,82,89,75.5,80.59,0,0,,0,0,2,3.2,200,1001.7,100,6.2,0,,0,10,Overcast,cloudy,"48307099999,48331099999,48315099999,48333099999"
"น่าน, ประเทศไทย",2022-07-01T23:00:00,74.4,74.4,72.4,93.56,0,0,,0,0,1.6,1.1,202.6,1004,97.6,15,0,,0,10,Overcast,cloudy,remote
"น่าน, ประเทศไทย",2022-07-02T00:00:00,74,74,72.2,94.12,0,0,,0,0,1.8,1.6,205.9,1003,99.9,15,0,,0,10,Overcast,cloudy,remote
"น่าน, ประเทศไทย",2022-07-02T01:00:00,78.9,78.9,75.3,88.79,0,0,,0,0,1.3,0,150,1001.8,100,6.2,0,,0,10,Overcast,cloudy,"48307099999,48331099999,48315099999,48333099999"
"น่าน, ประเทศไทย",2022-07-02T02:00:00,72.8,72.8,71.5,95.83,0,0,,0,0,0.9,0.2,247.1,1002,100,15,0,,0,10,Overcast,cloudy,remote
"น่าน, ประเทศไทย",2022-07-02T03:00:00,72.4,72.4,71.3,96.41,0,0,,0,0,0.9,0.7,1,1002,100,15,0,,0,10,Overcast,cloudy,remote
"น่าน, ประเทศไทย",2022-07-02T04:00:00,78,78,75.3,91.43,0.027,100,rain,0,0,0.7,0,50.4,1000.8,100,4.9,0,,0,10,"Rain, Overcast",rain,"48307099999,48331099999,48315099999,48333099999"
"น่าน, ประเทศไทย",2022-07-02T05:00:00,72.1,72.1,71.1,97,0,0,,0,0,0.7,0.4,48.6,1002,100,15,0,,0,10,Overcast,cloudy,remote
"น่าน, ประเทศไทย",2022-07-02T06:00:00,75.2,75.2,73.4,94.15,0,0,,0,0,0.4,3.4,170,1002,100,6.2,1,0,0,10,Overcast,cloudy,"VTCN,48331099999"
"น่าน, ประเทศไทย",2022-07-02T07:00:00,75.6,75.6,75.3,98.9,0.152,100,rain,0,0,0.7,0,217,1002.6,100,6.2,56,0.2,1,10,"Rain, Overcast",rain,"VTCN,48307099999,48331099999,48315099999,48333099999"
"น่าน, ประเทศไทย",2022-07-02T08:00:00,77,77,75.2,94.19,0,0,,0,0,2.2,5.8,190,1003,100,6.2,207,0.7,2,10,Overcast,cloudy,"VTCN,48331099999"
"น่าน, ประเทศไทย",2022-07-02T09:00:00,78.8,78.8,75.2,88.76,0,0,,0,0,3.6,5.8,200,1003,100,6.2,398,1.4,4,10,Overcast,cloudy,"VTCN,48331099999"
"น่าน, ประเทศไทย",2022-07-02T10:00:00,81.6,88.2,75.4,81.63,0,0,rain,0,0,4.7,6.5,174,1002.8,93.4,6.2,449,1.6,4,10,Overcast,cloudy,"VTCN,48307099999,48331099999,48315099999,48333099999"
"น่าน, ประเทศไทย",2022-07-02T11:00:00,82.4,89.5,75.2,78.92,0,0,rain,0,0,6.5,6.9,180,1003,88.9,6.2,535,1.9,5,10,Partially cloudy,partly-cloudy-day,"VTCN,48331099999"
"น่าน, ประเทศไทย",2022-07-02T12:00:00,82.4,89.5,75.2,78.92,0,0,rain,0,0,7.4,6.9,200,1002,88.9,6.2,616,2.2,6,10,Partially cloudy,partly-cloudy-day,"VTCN,48331099999"
"น่าน, ประเทศไทย",2022-07-02T13:00:00,84.8,94,75.9,74.75,0.004,100,rain,0,0,7.2,2.6,220,1001,93.2,6.2,726,2.6,7,30,"Rain, Overcast",rain,"VTCN,48307099999,48331099999,48315099999,48333099999"
"น่าน, ประเทศไทย",2022-07-02T14:00:00,86,95.2,75.2,70.29,0,0,rain,0,0,7.2,5.8,170,1001,88.9,6.2,794,2.9,8,30,Partially cloudy,partly-cloudy-day,"VTCN,48331099999"
"น่าน, ประเทศไทย",2022-07-02T15:00:00,87.8,99.9,77,70.47,0,0,,0,0,7.2,5.8,190,1000,88.9,6.2,762,2.7,8,30,Partially cloudy,partly-cloudy-day,"VTCN,48331099999"
"น่าน, ประเทศไทย",2022-07-02T16:00:00,88.5,99.5,75.8,66.25,0,0,rain,0,0,7.4,6.8,160,998.7,84.6,6.2,632,2.3,6,30,Partially cloudy,partly-cloudy-day,"VTCN,48307099999,48331099999,48315099999,48333099999"
"น่าน, ประเทศไทย",2022-07-02T17:00:00,80.6,87.1,77,88.84,0,0,rain,0,0,7.8,5.8,204.2,1000,100,6.2,448,1.6,4,30,Overcast,cloudy,"VTCN,48331099999"
"น่าน, ประเทศไทย",2022-07-02T18:00:00,80.6,87.1,77,88.84,0,0,,0,0,8.1,4.7,150,1000,88.9,6.2,231,0.8,2,30,Partially cloudy,partly-cloudy-day,"VTCN,48331099999"
"น่าน, ประเทศไทย",2022-07-02T19:00:00,80.7,87.4,77.2,89.32,0.004,100,rain,0,0,9.2,0,180,1000.6,100,6.2,47,0.2,0,10,"Rain, Overcast",rain,"48307099999,48331099999,48315099999,48333099999"
"น่าน, ประเทศไทย",2022-07-02T20:00:00,74.9,74.9,73.3,94.71,0,0,,0,0,6,4,193.2,1002,100,15,0,,0,10,Overcast,cloudy,remote
"น่าน, ประเทศไทย",2022-07-02T21:00:00,74.4,74.4,73.1,95.86,0,0,rain,0,0,3.6,2.9,179.8,1003,100,10.1,0,,0,10,Overcast,cloudy,remote
"น่าน, ประเทศไทย",2022-07-02T22:00:00,79.9,79.9,77.2,91.52,0,0,rain,0,0,2.7,0,150,1002.6,100,6.2,0,,0,10,Overcast,cloudy,"48307099999,48331099999,48315099999,48333099999"
"น่าน, ประเทศไทย",2022-07-02T23:00:00,73.5,73.5,72.6,97.01,0,0,,0,0,1.8,1.8,186,1004,100,15,0,,0,10,Overcast,cloudy,remote
"น่าน, ประเทศไทย",2022-07-03T00:00:00,73.3,73.3,72.4,97.01,0,0,,0,0,1.3,1.3,179.7,1004,100,15,0,,0,10,Overcast,cloudy,remote
"น่าน, ประเทศไทย",2022-07-03T01:00:00,79.6,79.6,77.2,92.18,0.01,100,rain,0,0,1.6,0,310,1002.5,98.3,6.1,0,,0,10,"Rain, Overcast",rain,"48307099999,48331099999,48315099999,48333099999"
"น่าน, ประเทศไทย",2022-07-03T02:00:00,73.1,73.1,72.4,97.6,0,0,,0,0,1.6,1.3,201.2,1003,91.8,11.9,0,,0,10,Overcast,cloudy,remote
"น่าน, ประเทศไทย",2022-07-03T03:00:00,72.9,72.9,72.2,97.6,0,0,,0,0,2,2,195,1003,100,11.2,0,,0,10,Overcast,cloudy,remote
"น่าน, ประเทศไทย",2022-07-03T04:00:00,78.5,78.5,76.7,94.23,0.009,100,rain,0,0,2,0,186.3,1001.7,100,6.1,0,,0,10,"Rain, Overcast",rain,"48307099999,48331099999,48315099999,48333099999"
"น่าน, ประเทศไทย",2022-07-03T05:00:00,72.4,72.4,71.7,97.59,0,0,,0,0,2,2,189.8,1003,100,15,0,,0,10,Overcast,cloudy,remote
"น่าน, ประเทศไทย",2022-07-03T06:00:00,77,77,75.2,94.19,0,0,,0,0,1.8,0,0,1003,50,6.2,1,0,0,10,Partially cloudy,partly-cloudy-day,"VTCN,48331099999"
"น่าน, ประเทศไทย",2022-07-03T07:00:00,77.5,77.5,77,98.36,0,0,,0,0,2.9,1.2,180.9,1002.8,58.5,6.2,22,0.1,0,10,Partially cloudy,partly-cloudy-day,"VTCN,48307099999,48331099999,48315099999,48333099999"
"น่าน, ประเทศไทย",2022-07-03T08:00:00,78.8,78.8,77,94.23,0,0,,0,0,3.8,0,0,1004,50,6.2,51,0.2,1,10,Partially cloudy,partly-cloudy-day,"VTCN,48331099999"
"น่าน, ประเทศไทย",2022-07-03T09:00:00,80.6,85.3,73.4,78.78,0,0,,0,0,4.5,3.4,170,1004,50,6.2,75,0.3,1,10,Partially cloudy,partly-cloudy-day,"VTCN,48331099999"
"น่าน, ประเทศไทย",2022-07-03T10:00:00,82.8,89.3,74.2,75.45,0,0,,0,0,5.1,3.6,180,1004.6,93.4,6.2,94,0.3,1,10,Overcast,cloudy,"VTCN,48307099999,48331099999,48315099999,48333099999"
"น่าน, ประเทศไทย",2022-07-03T11:00:00,84.2,90.9,73.4,70.11,0,0,,0,0,4.3,3.4,190,1004,50,6.2,151,0.5,2,10,Partially cloudy,partly-cloudy-day,"VTCN,48331099999"
"น่าน, ประเทศไทย",2022-07-03T12:00:00,86,93.4,73.4,66.18,0,0,,0,0,4.3,5.8,190,1004,88.9,6.2,454,1.6,5,10,Partially cloudy,partly-cloudy-day,"VTCN,48331099999"
"น่าน, ประเทศไทย",2022-07-03T13:00:00,88,98.1,75.3,66.13,0,0,,0,0,6.3,0,160,1002.7,93.2,6.2,844,3,8,10,Overcast,cloudy,"VTCN,48307099999,48331099999,48315099999,48333099999"
"น่าน, ประเทศไทย",2022-07-03T14:00:00,91.4,100.5,73.4,55.8,0,0,rain,0,0,6.5,8.1,200,1002,50,6.2,785,2.8,8,30,Partially cloudy,partly-cloudy-day,"VTCN,48331099999"
"น่าน, ประเทศไทย",2022-07-03T15:00:00,91.4,100.5,73.4,55.8,0,0,rain,0,0,7.2,6.9,200,1001,50,6.2,649,2.3,6,30,Partially cloudy,partly-cloudy-day,"VTCN,48331099999"
"น่าน, ประเทศไทย",2022-07-03T16:00:00,91.3,101.9,74.7,58.33,0,0,rain,0,0,8.3,4.7,163,999.8,54.8,6.2,572,2.1,6,60,Partially cloudy,partly-cloudy-day,"VTCN,48307099999,48331099999,48315099999,48333099999"
"น่าน, ประเทศไทย",2022-07-03T17:00:00,89.6,100.2,75.2,62.71,0,0,rain,0,0,9.4,5.8,180,1000,50,6.2,437,1.6,4,60,Partially cloudy,partly-cloudy-day,"VTCN,48331099999"
"น่าน, ประเทศไทย",2022-07-03T18:00:00,89.6,100.2,75.2,62.71,0,0,rain,0,0,10.7,4.7,190,1000,50,6.2,203,0.7,2,30,Partially cloudy,partly-cloudy-day,"VTCN,48331099999"
"น่าน, ประเทศไทย",2022-07-03T19:00:00,88.2,99,75.8,66.89,0,0,rain,0,0,4,0,176.6,1000.7,40.6,6.2,37,0.1,0,10,Partially cloudy,partly-cloudy-night,"VTCN,48307099999,48331099999,48315099999,48333099999"
"น่าน, ประเทศไทย",2022-07-03T20:00:00,75.6,75.6,73.7,93.59,0,0,rain,0,0,3.1,2.9,169.4,1003,91,8.9,0,,0,10,Overcast,cloudy,remote
"น่าน, ประเทศไทย",2022-07-03T21:00:00,75.1,75.1,73.5,94.72,0,0,,0,0,2.2,2,184.8,1004,53.4,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"น่าน, ประเทศไทย",2022-07-03T22:00:00,84.2,93.5,76.4,77.5,0,0,,0,0,1.3,2.2,160,1002.8,98.1,6.2,0,,0,10,Overcast,cloudy,"48307099999,48331099999,48315099999,48333099999"
"น่าน, ประเทศไทย",2022-07-03T23:00:00,74.2,74.2,72.9,95.85,0,0,,0,0,1.1,1.1,204.8,1005,97.2,15,0,,0,10,Overcast,cloudy,remote
"น่าน, ประเทศไทย",2022-07-04T00:00:00,73.8,73.8,72.6,95.85,0,0,,0,0,1.1,1.1,188.6,1005,100,15,0,,0,10,Overcast,cloudy,remote
"น่าน, ประเทศไทย",2022-07-04T01:00:00,82,89.7,76.4,82.96,0,0,,0,0,1.3,0,176.2,1002.4,98.2,6.2,0,,0,10,Overcast,cloudy,"48307099999,48331099999,48315099999,48333099999"
"น่าน, ประเทศไทย",2022-07-04T02:00:00,72.9,72.9,72.2,97.6,0,0,,0,0,1.6,1.6,188.1,1003,100,15,0,,0,10,Overcast,cloudy,remote
"น่าน, ประเทศไทย",2022-07-04T03:00:00,72.8,72.8,71.9,97.01,0,0,,0,0,2,2,185.1,1003,99.5,15,0,,0,10,Overcast,cloudy,remote
"น่าน, ประเทศไทย",2022-07-04T04:00:00,81.1,88.1,77,87.53,0,0,,0,0,2.2,0,180.6,1002.1,98.2,6.1,0,,0,10,Overcast,cloudy,"48307099999,48331099999,48315099999,48333099999"
"น่าน, ประเทศไทย",2022-07-04T05:00:00,72.2,72.2,71.3,97,0,0,,0,0,2,2,177.7,1004,100,15,0,,0,10,Overcast,cloudy,remote
"น่าน, ประเทศไทย",2022-07-04T06:00:00,78.8,78.8,77,94.23,0,0,,0,0,1.1,0,0,1003,88.9,6.2,1,0,0,10,Partially cloudy,partly-cloudy-day,"VTCN,48331099999"
"น่าน, ประเทศไทย",2022-07-04T07:00:00,80.8,87.7,77.2,88.91,0,0,,0,0,2.7,0,164.1,1003.7,99.3,6.2,68,0.2,1,10,Overcast,cloudy,"VTCN,48307099999,48331099999,48315099999,48333099999"
"น่าน, ประเทศไทย",2022-07-04T08:00:00,82.4,89.5,75.2,78.92,0,0,rain,0,0,4.9,4.7,180,1004,100,6.2,234,0.8,2,10,Overcast,cloudy,"VTCN,48331099999"
"น่าน, ประเทศไทย",2022-07-04T09:00:00,84.2,92.4,75.2,74.46,0,0,rain,0,0,5.8,8.1,180,1005,50,6.2,448,1.6,4,10,Partially cloudy,partly-cloudy-day,"VTCN,48331099999"
"น่าน, ประเทศไทย",2022-07-04T10:00:00,86.8,95.7,74.6,67.02,0,0,rain,0,0,6.7,0,180,1003.8,41,6.2,594,2.1,6,10,Partially cloudy,partly-cloudy-day,"VTCN,48307099999,48331099999,48315099999,48333099999"
"น่าน, ประเทศไทย",2022-07-04T11:00:00,87.8,97.7,75.2,66.38,0,0,,0,0,6.7,6.9,170,1004,27.2,6.2,637,2.3,6,30,Partially cloudy,partly-cloudy-day,"VTCN,48331099999"
"น่าน, ประเทศไทย",2022-07-04T12:00:00,89.6,98.2,73.4,59.04,0,0,,0,0,6.5,6.9,214.8,1004,27.2,6.2,794,2.9,8,30,Partially cloudy,partly-cloudy-day,"VTCN,48331099999"
"น่าน, ประเทศไทย",2022-07-04T13:00:00,90.8,101.2,74.7,59.38,0,0,rain,0,0,6.5,0,180,1002.5,54.9,6.2,855,3.1,9,10,Partially cloudy,partly-cloudy-day,"VTCN,48307099999,48331099999,48315099999,48333099999"
"น่าน, ประเทศไทย",2022-07-04T14:00:00,93.2,105,75.2,56.04,0,0,rain,0,0,6.9,5.8,190,1002,50,6.2,586,2.1,6,30,Partially cloudy,partly-cloudy-day,"VTCN,48331099999"
"น่าน, ประเทศไทย",2022-07-04T15:00:00,93.2,102.8,73.4,52.76,0,0,,0,0,6.9,5.8,200,1001,50,6.2,519,1.9,5,30,Partially cloudy,partly-cloudy-day,"VTCN,48331099999"
"น่าน, ประเทศไทย",2022-07-04T16:00:00,93.8,105.9,75.3,55.18,0,0,rain,0,0,6.9,5.2,183,999.6,32.3,6.2,422,1.5,4,60,Partially cloudy,partly-cloudy-day,"VTCN,48307099999,48331099999,48315099999,48333099999"
"น่าน, ประเทศไทย",2022-07-04T17:00:00,93.2,102.8,73.4,52.76,0,0,rain,0,0,6.5,9.2,190,1000,27.2,6.2,301,1.1,3,60,Partially cloudy,partly-cloudy-day,"VTCN,48331099999"
"น่าน, ประเทศไทย",2022-07-04T18:00:00,91.4,102.6,75.2,59.27,0,0,rain,0,0,5.4,8.1,200,1000,27.2,6.2,173,0.6,2,60,Partially cloudy,partly-cloudy-day,"VTCN,48331099999"
"น่าน, ประเทศไทย",2022-07-04T19:00:00,89.7,103,77.3,67.1,0,0,,0,0,2.5,0,183.5,1000,30.8,6.2,34,0.1,0,30,Partially cloudy,partly-cloudy-night,"48307099999,48331099999,48315099999,48333099999"
"น่าน, ประเทศไทย",2022-07-04T20:00:00,77.1,77.1,74.9,93.07,0,0,,0,0,3.4,2.7,194.7,1002,100,15,0,,0,30,Overcast,cloudy,remote
"น่าน, ประเทศไทย",2022-07-04T21:00:00,76.4,76.4,74.7,94.74,0.012,100,rain,0,0,3.6,2.9,202.2,1003,100,13,0,,0,30,"Rain, Overcast",rain,remote
"น่าน, ประเทศไทย",2022-07-04T22:00:00,84.3,95,77.6,80.29,0,0,,0,0,3.6,0,205.8,1002.8,30,6.2,0,,0,10,Partially cloudy,partly-cloudy-night,"48307099999,48331099999,48315099999,48333099999"
"น่าน, ประเทศไทย",2022-07-04T23:00:00,75.3,75.3,74,95.87,0.008,100,rain,0,0,2.2,2,186.9,1005,100,15,0,,0,10,"Rain, Overcast",rain,remote
"น่าน, ประเทศไทย",2022-07-05T00:00:00,74.7,74.7,73.7,96.45,0.02,100,rain,0,0,2,1.8,168.8,1004,100,11.9,0,,0,10,"Rain, Overcast",rain,remote
"น่าน, ประเทศไทย",2022-07-05T01:00:00,82,90.5,77.6,86.45,0,0,rain,0,0,1.8,0,189.9,1003.1,30.5,6.1,0,,0,10,Partially cloudy,partly-cloudy-night,"48307099999,48331099999,48315099999,48333099999"
"น่าน, ประเทศไทย",2022-07-05T02:00:00,73.7,73.7,72.9,97.61,0,0,rain,0,0,1.6,1.3,184.5,1004,100,4.2,0,,0,10,Overcast,cloudy,remote
"น่าน, ประเทศไทย",2022-07-05T03:00:00,73.3,73.3,72.8,98.2,0.039,100,rain,0,0,0.9,0.9,225.5,1003,100,9.1,0,,0,10,"Rain, Overcast",rain,remote
"น่าน, ประเทศไทย",2022-07-05T04:00:00,80.8,88.1,77.9,91.06,0,0,,0,0,0.2,0,253.1,1002.4,31.9,6.1,0,,0,10,Partially cloudy,partly-cloudy-night,"48307099999,48331099999,48315099999,48333099999"
"น่าน, ประเทศไทย",2022-07-05T05:00:00,73.5,73.5,72.9,98.2,0,0,,0,0,0.2,0.2,327.5,1004,100,15,0,,0,10,Overcast,cloudy,remote
"น่าน, ประเทศไทย",2022-07-05T06:00:00,78.8,78.8,75.2,88.76,0,0,,0,0,0.9,0,0,1004,27.2,6.2,1,0,0,10,Partially cloudy,partly-cloudy-day,"VTCN,48331099999"
"น่าน, ประเทศไทย",2022-07-05T07:00:00,80.8,86.8,75.7,84.45,0,0,,0,0,0.7,0,30.7,1004.6,41.5,6.2,51,0.2,1,10,Partially cloudy,partly-cloudy-day,"VTCN,48307099999,48331099999,48315099999,48333099999"
"น่าน, ประเทศไทย",2022-07-05T08:00:00,82.4,89.5,75.2,78.92,0,0,rain,0,0,1.1,6.9,170,1005,27.2,6.2,182,0.7,2,10,Partially cloudy,partly-cloudy-day,"VTCN,48331099999"
"น่าน, ประเทศไทย",2022-07-05T09:00:00,86,95.2,75.2,70.29,0,0,,0,0,3.1,6.9,180,1005,27.2,6.2,255,0.9,3,30,Partially cloudy,partly-cloudy-day,"VTCN,48331099999"
"น่าน, ประเทศไทย",2022-07-05T10:00:00,87.6,97.9,75.6,67.63,0,0,,0,0,6.3,3.8,190,1004.7,31.6,6.2,376,1.4,4,10,Partially cloudy,partly-cloudy-day,"VTCN,48307099999,48331099999,48315099999,48333099999"
"น่าน, ประเทศไทย",2022-07-05T11:00:00,89.6,100.2,75.2,62.71,0,0,,0,0,6,5.8,200,1005,27.2,6.2,589,2.1,6,30,Partially cloudy,partly-cloudy-day,"VTCN,48331099999"
"น่าน, ประเทศไทย",2022-07-05T12:00:00,87.8,95.8,73.4,62.5,0,0,,0,0,6,11.4,190,1005,27.2,6.2,787,2.8,8,30,Partially cloudy,partly-cloudy-day,"VTCN,48331099999"
"น่าน, ประเทศไทย",2022-07-05T13:00:00,91.5,102.9,75.4,59.48,0,0,,0,0,6.5,7.7,176,1003.5,36,6.2,818,2.9,8,30,Partially cloudy,partly-cloudy-day,"VTCN,48307099999,48331099999,48315099999,48333099999"
"น่าน, ประเทศไทย",2022-07-05T14:00:00,93.2,105,75.2,56.04,0,0,,0,0,6.9,9.2,210,1003,27.2,6.2,870,3.1,9,30,Partially cloudy,partly-cloudy-day,"VTCN,48331099999"
"น่าน, ประเทศไทย",2022-07-05T15:00:00,95,107.4,75.2,53.01,0,0,,0,0,7.6,11.4,180,1002,27.2,6.2,780,2.8,8,30,Partially cloudy,partly-cloudy-day,"VTCN,48331099999"
"น่าน, ประเทศไทย",2022-07-05T16:00:00,94,106.5,75.5,55.3,0,0,rain,0,0,9.2,5.1,180,1000.6,35.9,6.2,628,2.3,6,60,Partially cloudy,partly-cloudy-day,"VTCN,48307099999,48331099999,48315099999,48333099999"
"น่าน, ประเทศไทย",2022-07-05T17:00:00,93.2,105,75.2,56.04,0,0,rain,0,0,9.8,11.4,190,1001,27.2,6.2,431,1.6,4,60,Partially cloudy,partly-cloudy-day,"VTCN,48331099999"
"น่าน, ประเทศไทย",2022-07-05T18:00:00,89.6,100.2,75.2,62.71,0,0,rain,0,0,7.2,9.2,190,1001,50,6.2,187,0.7,2,60,Partially cloudy,partly-cloudy-day,"VTCN,48331099999"
"น่าน, ประเทศไทย",2022-07-05T19:00:00,89.6,103.5,77.6,67.88,0,0,rain,0,0,2.5,0,178.8,1001.3,80.3,6.2,37,0.1,0,30,Partially cloudy,partly-cloudy-night,"48307099999,48331099999,48315099999,48333099999"
"น่าน, ประเทศไทย",2022-07-05T20:00:00,77.4,77.4,74.7,91.41,0,0,,0,0,2.7,2.2,182.5,1004,100,8.6,0,,0,30,Overcast,cloudy,remote
"น่าน, ประเทศไทย",2022-07-05T21:00:00,75.6,75.6,74.2,95.3,0.197,100,rain,0,0,3.1,2.5,182.5,1005,100,2,0,,0,10,"Rain, Overcast",rain,remote
"น่าน, ประเทศไทย",2022-07-05T22:00:00,85.2,97.6,78.5,80.33,0,0,,0,0,2.2,0,148.1,1004.6,32.2,6.2,0,,0,10,Partially cloudy,partly-cloudy-night,"48307099999,48331099999,48315099999,48333099999"
"น่าน, ประเทศไทย",2022-07-05T23:00:00,75.3,75.3,74,95.87,0.039,100,rain,0,0,1.8,1.3,231.1,1006,100,4.2,0,,0,10,"Rain, Overcast",rain,remote
"น่าน, ประเทศไทย",2022-07-06T00:00:00,74.6,74.6,73.7,97.03,0,0,rain,0,0,2,1.8,237.6,1006,100,2.9,0,,0,10,Overcast,cloudy,remote
"น่าน, ประเทศไทย",2022-07-06T01:00:00,83.3,93.4,78,84.1,0,0,rain,0,0,1.3,0,322.6,1005.2,51.8,6.1,0,,0,10,Partially cloudy,partly-cloudy-night,"48307099999,48331099999,48315099999,48333099999"
"น่าน, ประเทศไทย",2022-07-06T02:00:00,74.4,74.4,73.5,97.03,0,0,,0,0,1.3,1.1,22.4,1006,100,15,0,,0,10,Overcast,cloudy,remote
"น่าน, ประเทศไทย",2022-07-06T03:00:00,74,74,73.3,97.61,0,0,,0,0,2,2,68,1005,100,11.6,0,,0,10,Overcast,cloudy,remote
"น่าน, ประเทศไทย",2022-07-06T04:00:00,81.7,89,76.4,84.03,0,0,,0,0,1.3,0,32.9,1004.6,51.2,6.1,0,,0,10,Partially cloudy,partly-cloudy-night,"48307099999,48331099999,48315099999,48333099999"
"น่าน, ประเทศไทย",2022-07-06T05:00:00,73.8,73.8,73.3,98.2,0,0,,0,0,1.3,1.3,14.9,1006,100,13.2,0,,0,10,Overcast,cloudy,remote
